Country,Brewery,Benefits per month,Implementation Costs,Devices,Forklift Structure,Warehouse Signage,Labels,Costs without Labelers & WiFi,Label Printers / Labelers,Manual Labeling,WiFi Full,WiFi Full Optimized,WiFi Prioritized,,,,
Mexico,Site 01,18511,15000,0,6668.7957,11370.3713123093,14425.1533672431,47464.3203795524,7144.76,0,44451,43451,0,,,,
Mexico,Site 02,26878,15000,70212.8690476191,9262.21625,27796.9379558344,21152.7918102935,143424.815063747,81930.072,142702.702702703,287249,220687,110343.5,,,,
Mexico,Site 03,61087,25000,84255.4428571429,11114.6595,23591.8332062039,18886.4212591906,162848.356822537,212307.9,259459.459459459,378909,157740,112671.428571429,,,,
Mexico,Site 04,70898,25000,103915.046190476,13708.08005,44202.7663361302,19286.8133898855,206112.705966492,184000.18,220540.540540541,411279,368914,230571.25,,,,
Mexico,Site 05,14809,15000,0,5927.8184,10505.1614543605,11709.5811806982,43142.5610350587,73600.072,103783.783783784,219880,206497,77436.375,,,,
Mexico,Site 06,76636,35000,213447.121904762,28157.1374,43677.8758319519,49482.4236990794,369764.558835793,302730.288,376216.216216216,523835,297466,220345.185185185,,,,
Mexico,Site 07,30543,25000,98298.0166666667,12967.10275,39945.6343757946,13220.4948814334,189431.248673895,147200.144,181621.621621622,277152,123137,94720.7692307692,,,,
Colombia,Site 08,70420,50000,0,0,0,0,50000,0,0,0,0,0,,,,
Colombia,Site 09,15920,15000,0,3600,12547,3600,34747,0,0,133781,115803,100862,,,,
Colombia,Site 10,90320,25000,0,15600,57883,8100,106583,308459.675475,0,487872,364795,154945.834960521,,,,
Colombia,Site 11,24480,15000,0,5560,15273,4500,40333,176263,0,180753,185549,94573.8118047335,,,,
Colombia,Site 12,10180,5000,0,1440,3746,1800,11986,88131,0,116598,73392,43642.3158409288,,,,
Colombia,Site 13,109140,50000,369489,44000,73532,20700,557721,1189773,0,333663,267903,136549.417695183,,,,
Colombia,Site 14,56820,35000,0,18560,58580,9000,121140,925379,0,319639,286043,121496.104578222,,,,
Colombia,Site 15,27560,15000,0,5320,20351,3600,44271,88131,0,139767,134417,79930.6350609076,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
