Cluster,Phase,Role,Capacity Consumption,,
1,Site Readiness,Infrastructure Lead,1,,
1,Site Readiness,SAP Integrations Lead,0.5,,
1,Design Adaptation,Solution Architect,1,,
1,Design Adaptation,SAP Integrations Lead,0.5,,
1,Design Adaptation,SAP Integrations Specialist,0.5,,
1,Design Adaptation,Azure Lead,0.5,,
1,Design Adaptation,Azure Specialist,0.5,,
1,Design Adaptation,Testing Lead,1,,
1,Design Adaptation,Functional Lead,1,,
1,Design Adaptation,Trainers,1,,
1,Design Adaptation,Infrastructure Lead,1,,
1,Design Adaptation,Functional Lead Vendor A,1,,
1,Functional Review,Solution Architect,0.5,,
1,Functional Review,Change Management Lead,1,,
1,Functional Review,SAP Integrations Lead,0.5,,
1,Functional Review,SAP Integrations Specialist,0.5,,
1,Functional Review,Azure Lead,0.5,,
1,Functional Review,Azure Specialist,0.5,,
1,Functional Review,Testing Lead,0.5,,
1,Functional Review,Functional Lead,1,,
1,Functional Review,Trainers,1,,
1,UAT,Solution Architect,0.5,,
1,UAT,Change Management Lead,1,,
1,UAT,SAP Integrations Lead,0.5,,
1,UAT,SAP Integrations Specialist,0.5,,
1,UAT,Azure Lead,0.5,,
1,UAT,Azure Specialist,0.5,,
1,UAT,Testing Lead,0.5,,
1,UAT,Functional Lead,1,,
1,UAT,Trainers,1,,
1,Training,Change Management Lead,1,,
1,Training,Trainers,1,,
1,DIALT,Solution Architect,0.5,,
1,DIALT,Change Management Lead,1,,
1,DIALT,Azure Lead,0.75,,
1,DIALT,Azure Specialist,0.75,,
1,DIALT,Functional Lead,1,,
1,DIALT,Trainers,1,,
1,DIALT,Functional Lead Vendor A,1,,
1,Go Live,Solution Architect,1,,
1,Go Live,Change Management Lead,1,,
1,Go Live,SAP Integrations Lead,1,,
1,Go Live,SAP Integrations Specialist,1,,
1,Go Live,Azure Lead,1,,
1,Go Live,Azure Specialist,1,,
1,Go Live,Functional Lead,1,,
1,Go Live,Trainers,1,,
1,Go Live,Infrastructure Lead,1,,
1,Go Live,Functional Lead Vendor A,1,,
1,Hypercare,Solution Architect,0.5,,
1,Hypercare,Change Management Lead,1,,
1,Hypercare,SAP Integrations Lead,0.5,,
1,Hypercare,SAP Integrations Specialist,0.5,,
1,Hypercare,Azure Lead,0.5,,
1,Hypercare,Azure Specialist,0.5,,
1,Hypercare,Functional Lead,1,,
1,Hypercare,Functional Lead,1,,
