Role,Work Mode,Can Multitask,Internal or External,Fixed or Flexible Cost,Average Monthly Cost (MXN),Actual,Escenario 1,,,,,,,
Solution Architect,Remote,Yes,Internal,Fixed,36000,1,5,,,,,,Go Live,Post
Warehouse Manager Org A,Hybrid,Yes,Internal,Fixed,35000,1,5,,,,,,,
Project Manager Country B,Hybrid,Partial,Internal,Fixed,25000,1,5,,,,,,,
Project Manager Country A,Hybrid,Partial,Internal,Fixed,25000,1,5,,,,,,,
Change Management Lead,Onsite,No,Internal,Fixed,16000,1,5,,,,,,,
Change Management Lead,Onsite,No,External,Fixed,16000,1,5,,,,,,,
Infrastructure Lead,Onsite,No,Internal,Fixed,42000,1,5,,,,,,,
Infrastructure Lead,Onsite,No,External,Flexible,43000,1,5,,,,,,,
Functional Lead,Onsite,No,Internal,Fixed,35000,1,5,,,,,,,
Functional Lead,Onsite,No,External,Flexible,35000,1,5,,,,,,,
SAP Integrations Lead,Remote,Yes,Internal,Fixed,62000,1,5,,,,,,,
SAP Integrations Specialist,Remote,Yes,Internal,Flexible,55000,1,5,,,,,,,
Azure Lead,Remote,Yes,Internal,Fixed,48000,1,5,,,,,,,
Azure Specialist,Remote,Yes,Internal,Flexible,45000,1,5,,,,,,,
Testing Lead,Remote,Partial,Internal,Flexible,35000,1,5,,,,,,,
Trainers,Onsite,No,External,Flexible,28000,1,5,,,,,,,
Functional Lead Vendor A,Remote,Yes,External,Flexible,36000,2,5,,,,,,,
Support Lead,Remote,Yes,External,Flexible,22000,2,5,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
