Country,Brewery,Cluster,"Capacity
(Mio HL)","Production
(Mio HL)",Distribution Volume (K HL),Line Capacity,Production Lines,# Warehouses,Warehouse Area,Occupation LV,Aisles Identification,Box Identification,Control Tower,T2/MKP/KA,Forklifts in Logistics,HC Forklifts,WIFI State,Tablets,Counting Devices
Mexico,Site 01,2,3.72,1.43,6400,0.384408602150538,3,1,9100,0.815,0.89,Yes,No,No,18,38,0.85,15,5
Mexico,Site 02,2,6.46,4.77,11160,0.738390092879257,6,2,15572,0.94,0,No,No,No,30,90,0,29,6
Mexico,Site 03,2,6.46,4.77,11160,0.738390092879257,6,2,15572,0.94,0,No,No,No,30,90,0,29,6
Mexico,Site 04,2,6.59,4.58,11520,0.694992412746586,5,2,17742,0.78,0,No,Yes,No,37,80,0,15,4
Mexico,Site 05,3,2.75,2.12,6848,0.770909090909091,2,3,5239,0.855,0.9,Yes,No,Yes,14,42,0,14,4
Mexico,Site 06,1,13.2,12.19,29946,0.923484848484848,9,2,36333,1,0.93,Yes,Yes,Yes,76,213,0,85,8
Mexico,Site 07,2,4.77,3.82,9900,0.80083857442348,4,1,14897,1.05,0,No,No,Yes,32,75,0,32,6
Colombia,Site 08,1,14.262347627,14.221547376,11189,0.997139303285333,3,1,28576,1.04,1,Yes,Yes,Yes,32,117,1,40,5
Colombia,Site 09,2,7.958873221,3.092881323,1822.30378095254,0.388607939480583,4,1,14097,0.88,0.5,Yes,Yes,Yes,10,32,0.7,20,4
Colombia,Site 10,1,13.689520912,10.316545737,11164.5596213678,0.753608968737298,10,4,13978,0.96,0.8,No,Yes,Yes,62,169,0.5,55,7
Colombia,Site 11,3,3.980350546,3.412261533,2911.32828241645,0.857276637714511,4,3,4684,0.84,0.8,No,No,No,17,42,0.6,16,3
Colombia,Site 12,4,2.168161207,0.723075154,699.070320636357,0.33349695200962,2,1,3797,0.8,0.8,No,No,No,4,15,0.7,5,3
Colombia,Site 13,1,30.368177153,20.955335884,23650.2133506269,0.690042598817291,14,2,85322,1.08,0.8,Yes,Yes,Yes,100,345,0.6,135,15
Colombia,Site 14,1,13.637261498,10.618098853,11442.7306057445,0.77860931643477,11,1,69016,0.88,0.8,No,Yes,No,52,166,0.5,60,6
Colombia,Site 15,2,5.002799635,4.509029219,4946.46702334887,0.901301180933664,5,3,9601,1.05,0.6,No,Yes,No,19,54,0.7,18,4
